Repository,Lanugage,Type,Maintained,User Docs URL," Developer Docs URL",Contributing Guide,Tests,Static Analysis,Checklist
"FAIR-CLI ",Python,CLI,Yes,,"https://github.com/FAIRDataPipeline/FAIR-CLI/tree/develop/docs",,,,
"cppSimpleModel ",C++,Example,Yes,,,,,,
"javaSimpleModel ",Java,Example,Yes,,,,,,
"pySimpleModel ",Python,Example,Yes,,,,,,
rSimpleModel,R,Example,Yes,,,,,,
cppDataPipeline,C++,Modelling API,Yes,,"https://www.fairdatapipeline.org/cppDataPipeline/",,,,
DataPipeline.jl (also contains Julia model example),Julia,Modelling API,Yes,https://www.fairdatapipeline.org/docs/API/julia/,"https://www.fairdatapipeline.org/docs/API/julia/",,,,
"javaDataPipeline ",Java,Modelling API,Yes,https://www.fairdatapipeline.org/docs/API/Java/,"https://www.fairdatapipeline.org/javaDataPipeline/",,,,
"pyDataPipeline ",Python,Modelling API,Yes,https://www.fairdatapipeline.org/docs/API/python/,"https://www.fairdatapipeline.org/pyDataPipeline/",,,,
"rDataPipeline ",R,Modelling API,Yes,https://www.fairdatapipeline.org/docs/API/R/,"https://cloud.r-project.org/web/packages/rDataPipeline/rDataPipeline.pdf",,,,
"data-registry ",Python,Registry,Yes,https://www.fairdatapipeline.org/docs/data_registry/,"https://github.com/FAIRDataPipeline/data-registry/wiki",,,,
"FDP_hugo ",Hugo,Website,Yes,,,,,,
fairdatapipeline.github.io,Serves FDP_hugo output,Website,,,,,,,
"fair-setup-action ",,,,,,,,,
chocolatey-packages,,,,,,,,,
FDP_validation,,,,,,,,,
homebrew-fairdatapipeline,,,,,,,,,
